#Dt, msdx1, msdy1, msdr1, msdx2, msdy2, msdr2 
31200, 11269.520523, 0.240669, 11269.761192, 11265.349710, 0.079318, 11265.429028
31400, 11412.521941, 0.228899, 11412.750840, 11411.062379, 0.080490, 11411.142869
31600, 11564.523516, 0.239756, 11564.763273, 11556.925907, 0.082158, 11557.008065
31800, 11710.842746, 0.221656, 11711.064401, 11699.692801, 0.059271, 11699.752072
32000, 11859.775078, 0.183136, 11859.958214, 11842.683727, 0.048272, 11842.731999
32200, 12003.925454, 0.165921, 12004.091375, 11997.322974, 0.039907, 11997.362881
32400, 12153.997666, 0.147731, 12154.145397, 12144.308328, 0.044209, 12144.352536
32600, 12305.942985, 0.139045, 12306.082030, 12290.056473, 0.069516, 12290.125988
32800, 12458.952383, 0.127992, 12459.080375, 12443.704710, 0.071692, 12443.776402
33000, 12606.556955, 0.123388, 12606.680343, 12598.824034, 0.067955, 12598.891989
33200, 12771.039608, 0.090677, 12771.130285, 12753.634894, 0.069227, 12753.704120
33400, 12917.910893, 0.073555, 12917.984448, 12905.926489, 0.071536, 12905.998025
33600, 13071.184680, 0.079033, 13071.263713, 13060.601188, 0.071944, 13060.673132
33800, 13227.805153, 0.070827, 13227.875980, 13209.730681, 0.072364, 13209.803045
34000, 13380.523875, 0.056549, 13380.580424, 13371.072114, 0.066308, 13371.138422
34200, 13541.194490, 0.043854, 13541.238343, 13533.626797, 0.056373, 13533.683170
34400, 13702.858915, 0.026386, 13702.885301, 13691.641988, 0.054479, 13691.696468
34600, 13859.717145, 0.026949, 13859.744094, 13855.874217, 0.038931, 13855.913148
34800, 14028.096460, 0.018162, 14028.114622, 14006.589556, 0.022742, 14006.612298
35000, 14181.812698, 0.008836, 14181.821533, 14170.968722, 0.013195, 14170.981917
35200, 14343.047742, 0.008323, 14343.056065, 14335.022623, 0.005037, 14335.027661
35400, 14502.447011, 0.009844, 14502.456854, 14490.693278, 0.003746, 14490.697024
35600, 14672.744963, 0.014230, 14672.759193, 14652.305301, 0.013208, 14652.318509
35800, 14832.321132, 0.021623, 14832.342754, 14819.910600, 0.021726, 14819.932326
36000, 15000.811191, 0.023348, 15000.834539, 14984.971289, 0.029561, 14985.000850
36200, 15172.028752, 0.030567, 15172.059318, 15158.621925, 0.036302, 15158.658227
